lambda,bregma,LATERAL,MEDIO,DORSO,
-3.04,-6.84,8.03,5.14,3.081,3.273
-2.92,-6.72,7.96,4.58,3.28,3.244
-2.84,-6.64,8.67,5.33,3,3.23
-2.68,-6.48,10.38,6.08,3,3.389
-2.56,-6.36,9,4.85,3.069,3.389
-2.44,-6.24,9.45,5.22,3.158,3.485
-2.32,-6.12,8.88,5.06,3.188,3.46
-2.20,-6.00,9.39,5.23,3.242, 546, 33, 33
-2.08,-5.88,9.92,6.38,3.254,
